"npc_brewmaster" "Пьяная панда"
"npc_tormentor" "???"
"npc_shamanka" "Шаманка"
"npc_gate_troll_uruk" "Урюк"
"npc_gate_troll_biruk" "Бирюк"
"npc_gate_troll_diruk" "Дирюк"
"npc_guide" "Гид"
"npc_creep_rogach" "Крип-рогач"
"npc_mustache" "Усач"
"npc_blue_prince" "Синий принц"
"npc_creep_bob" "Боб"
"npc_monkey_king" "Быдло"
"npc_ogre_magi" "Сиамский огр"
"npc_rape_victim" "Камыш"
"npc_predvestnik" "Раздраженный крип"
"npc_mystery" "Загадочный крип"
"npc_templar_assasin" "Хранительница тайн"
"npc_alchemist" "Алхимик"
"npc_scientist" "Ученый"
"npc_red" "Красный"
"npc_concert_guard" "Вышибала"
"npc_xavier" "xaviersobased"
"npc_island_guard"		"Страж острова"
"npc_genius"		"Гений"
"npc_gorilla"       "Горилла"
"npc_perekup"       "Перекуп"
"npc_training_dummy" "Тренировочный манекен"
"npc_goden" "Годень"
"npc_goden_summon" "Солдат Годеня"
"npc_island_fiend" "Дьявол острова"
"npc_island_demon" "Демон острова"
